地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,,1736,1679,1979,2038,40131,1999,2734,2267,2079
天津市,,1390,1260,1542,1281,24373,1145,1041,1056,1214
河北省,,4297,4095,4236,4459,83891,4393,4744,4903,5802
山西省,,2599,2915,3264,3095,63254,3097,2957,3171,3212
内蒙古自治区,,1711,1746,1601,1799,34966,1687,1874,1851,1876
辽宁省,,2608,2867,2945,3132,61483,3448,3940,4227,3268
吉林省,,1475,1572,1567,1712,34868,1719,1863,2323,1945
黑龙江省,,2189,2403,2476,2688,50967,2386,2489,2512,2734
上海市,,1586,1703,1767,1761,33725,2008,1944,2203,2527
江苏省,,4937,4836,4844,5070,104304,5590,5427,5642,5952
浙江省,,4002,3880,4487,4361,81014,5207,5876,4900,3908
安徽省,,4089,4922,4244,4603,92350,4304,4747,5456,4465
福建省,,2397,2885,2688,2537,57892,2761,2912,2834,3082
江西省,,3452,3463,3370,3626,63004,3656,4031,3437,3566
山东省,,5157,5277,5625,6207,130405,5905,5916,6121,6631
河南省,,6802,6468,6910,6931,134160,7124,7030,7175,8835
湖北省,,4038,5343,5196,4886,92185,4422,4668,4824,4748
湖南省,,4795,4918,4840,5002,87826,5024,5028,4805,5136
广东省,,12832,11858,11386,12922,228961,14577,12169,12546,13709
广西壮族自治区,,4105,4500,4569,4632,78509,4199,4488,4204,4730
海南省,,921,931,961,1042,19230,1103,1023,1071,1004
重庆市,,2007,2181,1990,2205,42661,2360,2382,2056,2245
四川省,,5156,5724,6514,6132,117507,6155,7088,6167,5615
贵州省,,2752,3008,3163,3084,56375,3098,3059,2758,3391
云南省,,3897,4402,4668,4071,77994,3706,3706,3868,3779
西藏自治区,,315,339,317,344,6300,358,312,337,366
陕西省,,2901,3269,2777,3278,64795,3141,3115,3570,3306
甘肃省,,2105,2187,2099,2202,45117,2466,2193,2363,2460
青海省,,446,479,484,523,9134,440,466,471,482
宁夏回族自治区,,489,475,481,534,9947,520,495,480,590
新疆维吾尔自治区,,1808,1822,1697,1828,32609,1757,1845,1700,1936
