地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,,3898,4146,3880,3630,64014,3371,3214,2924,2825
天津市,,1518,1643,1638,1571,25322,1440,1386,1323,1257
河北省,,2943,3229,2820,2867,53525,2207,2071,1513,1435
山西省,,2020,2200,2018,1864,33262,1327,1432,1283,1131
内蒙古自治区,,1912,1839,1704,1839,30358,1023,895,1178,1394
辽宁省,,2700,2755,2973,3087,53720,2821,3606,3217,2103
吉林省,,1290,1422,1530,1497,26595,1225,1180,969,977
黑龙江省,,1965,2009,2007,2124,38429,2110,1791,1469,1555
上海市,,2659,2883,3089,2763,48541,2439,2203,2087,1857
江苏省,,4836,4430,5176,4950,90009,4049,3916,4344,3944
浙江省,,3424,3431,2999,3013,55229,2885,3480,3903,3664
安徽省,,2496,2457,1977,1909,41125,2626,1992,1410,1278
福建省,,1534,1861,2201,1576,32475,1664,1115,1121,2427
江西省,,1861,1619,1305,1200,29624,1172,1292,1116,1049
山东省,,4472,4640,4925,4436,81219,3377,3345,3274,3093
河南省,,3365,3381,3172,2983,58235,3538,2571,2273,2117
湖北省,,3185,2895,3310,2888,56338,2252,2354,2329,2129
湖南省,,3056,3061,2800,2747,55219,2261,2018,1641,1801
广东省,,5507,4848,5740,5304,85155,2674,2820,3446,3172
广西壮族自治区,,1630,1246,1337,1355,32386,1341,1254,1029,1108
海南省,,573,654,445,288,6101,218,221,294,227
重庆市,,1725,1709,1593,1442,26986,1360,907,1058,1202
四川省,,4394,4165,3257,3015,65385,3089,2812,2879,2657
贵州省,,992,1161,1217,881,19902,1636,1282,781,755
云南省,,2089,1784,1490,1755,32189,1132,1235,1090,1346
西藏自治区,,107,97,103,73,1641,30,28,47,51
陕西省,,1790,2518,2624,2067,48554,1462,1568,1381,1454
甘肃省,,1072,1155,1282,1006,22201,892,780,715,712
青海省,,267,286,237,204,4040,313,253,185,209
宁夏回族自治区,,334,348,415,374,6742,255,258,219,214
新疆维吾尔自治区,,1375,1614,1658,1241,24583,1144,1057,1110,1191
