地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,,4052,3975,4088,4099,70090,3049,3645,3219,2772
天津市,,1820,1816,1866,1604,27918,1287,1285,1230,1055
河北省,,3264,3198,2916,3098,55301,2238,2236,1719,1610
山西省,,2104,2245,2255,2077,40399,1472,1580,1423,1214
内蒙古自治区,,1928,1955,1847,1801,29169,1105,1071,1186,1139
辽宁省,,2875,2970,3015,3244,56803,3191,3317,3301,2396
吉林省,,1308,1459,1634,1597,27338,1352,1331,987,1055
黑龙江省,,2102,2147,2044,2034,37583,1635,1917,1622,1391
上海市,,2838,3106,3329,3028,53616,2717,2501,2305,2206
江苏省,,5534,4850,5562,5508,100977,4746,4547,4030,3706
浙江省,,3603,3573,3852,3692,63618,3624,3985,2569,1883
安徽省,,3093,3410,2539,2606,62564,2236,2194,3311,1940
福建省,,1657,2103,2218,1845,38517,1701,1440,1139,1157
江西省,,2224,1871,1648,1977,39241,1628,1936,1731,1486
山东省,,5171,5060,5158,5064,98638,4038,4100,4094,3791
河南省,,4066,3385,3119,2886,60068,3842,3184,2524,3494
湖北省,,3149,4165,4036,3518,70602,2856,2950,3185,3052
湖南省,,3497,3120,3388,3438,60939,2463,2324,2108,2313
广东省,,6434,5824,6151,6474,101796,5019,3845,4581,5679
广西壮族自治区,,1694,1350,1469,1600,29780,1514,1477,1252,2064
海南省,,422,520,474,395,7905,339,374,399,299
重庆市,,1775,1886,1642,1596,28477,1630,1254,1241,1493
四川省,,4214,4087,3630,2854,66583,2618,3786,3378,2681
贵州省,,1144,1326,1367,1025,22469,1126,1137,967,1477
云南省,,1859,1851,1619,1456,32489,1322,1527,1348,1212
西藏自治区,,102,106,107,59,1625,32,27,51,67
陕西省,,2078,2650,1880,1755,48887,1755,1895,1769,1597
甘肃省,,1207,1363,1520,1184,25025,1169,1007,1075,1105
青海省,,331,366,289,241,4760,253,299,238,195
宁夏回族自治区,,365,333,401,428,7792,285,298,232,238
新疆维吾尔自治区,,1279,1551,1613,1240,23416,1119,1118,1162,1242
