地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,69434,67756,62361,57230,52530,48458,44489,40830,36817,33176
天津市,43854,42404,39506,37022,34074,31291,28832,26359,24030,21714
河北省,27136,25665,23446,21484,19725,18118,16647,15190,13647,12059
山西省,25214,23828,21990,20420,19049,17854,16538,15120,13592,11959
内蒙古自治区,31497,30555,28376,26212,24127,22310,20559,18693,16800,14715
辽宁省,32738,31820,29701,27835,26040,24576,22820,20818,18761,16429
吉林省,25751,24563,22798,21368,19967,18684,17520,15998,14395,12621
黑龙江省,24902,24254,22726,21206,19838,18593,17404,15903,14302,12605
上海市,72232,69442,64183,58988,54305,49867,45966,42174,38550,34731
江苏省,43390,41400,38096,35024,32070,29539,27173,24776,22432,19820
浙江省,52397,49899,45840,42046,38529,35537,32658,29775,27020,24195
安徽省,28103,26415,23984,21863,19998,18363,16796,15154,13593,11873
福建省,37202,35616,32644,30048,27608,25404,23331,21218,19141,16909
江西省,28017,26262,24080,22031,20110,18437,16734,15100,13567,11870
山东省,32886,31597,29205,26930,24685,22703,20864,19008,17127,15077
河南省,24810,23903,21964,20170,18443,17125,15695,14204,12772,11206
湖北省,27881,28319,25815,23757,21787,20026,18283,16472,14809,12941
湖南省,29380,27680,25241,23103,21115,19317,17622,16005,14391,12612
广东省,41029,39014,35810,33003,30296,27859,25685,23421,21268,18916
广西壮族自治区,24562,23328,21485,19905,18305,16873,15557,14082,12644,11054
海南省,27904,26679,24579,22553,20653,18979,17476,15733,14180,12392
重庆市,30824,28920,26386,24153,22034,20110,18352,16569,14924,13037
四川省,26522,24703,22461,20580,18808,17221,15749,14231,12753,11130
贵州省,21795,20397,18430,16704,15121,13697,12371,11083,9850,8594
云南省,23295,22082,20084,18348,16720,15223,13772,12578,11233,9739
西藏自治区,21744,19501,17286,15457,13639,12254,10730,9740,8568,7510
陕西省,26226,24666,22528,20635,18874,17395,15837,14372,12885,11229
甘肃省,20335,19139,17488,16011,14670,13467,12185,10954,9768,8463
青海省,24037,22618,20757,19001,17302,15813,14374,12948,11470,10024
宁夏回族自治区,25735,24412,22400,20562,18832,17329,15907,14566,13104,11480
新疆维吾尔自治区,23845,23103,21500,19975,18355,16859,15097,13670,12151,10443
