地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,38903,43038,39843,37425,35416,33803,31103,29176,26562,24298
天津市,28461,31854,29903,27841,26129,24162,22343,20419,18542,16796
河北省,18037,17987,16722,15437,14247,13031,11932,10872,9773,8852
山西省,15733,15863,14810,13664,12683,11729,10864,10118,9446,8404
内蒙古自治区,19794,20743,19665,18946,18072,17179,16258,14878,13475,11920
辽宁省,20672,22203,21398,20463,19853,17200,16068,14950,13489,11954
吉林省,17318,18075,17200,15632,14773,13764,13026,12054,10737,9442
黑龙江省,17056,18111,16994,15577,14446,13403,12769,12037,10750,9967
上海市,42536,45605,43351,39792,37458,34784,33065,30400,28152,26858
江苏省,26225,26697,25007,23469,22130,20556,19164,17926,16500,14635
浙江省,31295,32026,29471,27079,25527,24117,22552,20610,18931,17874
安徽省,18877,19137,17045,15752,14712,12840,11727,10544,9878,8683
福建省,25126,25314,22996,21249,20167,18850,17644,16177,14843,13218
江西省,17955,17650,15792,14459,13259,12403,11089,10053,9182,8361
山东省,20940,20427,18780,17281,15926,14578,13329,11897,10902,9853
河南省,16143,16332,15169,13730,12712,11835,11000,10002,9103,7968
湖北省,19246,21567,19538,16938,15889,14316,12928,11761,10756,9589
湖南省,20998,20479,18808,17160,15750,14267,13289,11946,10806,9713
广东省,28492,28995,26054,24820,23448,20976,19205,17421,16002,14459
广西壮族自治区,16357,16418,14935,13424,12295,11401,10274,9596,8910,7816
海南省,18972,19555,17528,15403,14275,13575,12471,11193,10161,8859
重庆市,21678,20774,19248,17898,16385,15140,13811,12600,11468,10263
四川省,19783,19338,17664,16180,14839,13632,12368,11055,9837,8751
贵州省,14874,14780,13798,12970,11932,10414,9303,8288,7247,6452
云南省,16792,15780,14250,12658,11769,11005,9870,8824,8192,7135
西藏自治区,13225,13029,11520,10320,9319,8246,7317,6307,5468,5063
陕西省,17418,17465,16160,14900,13943,13087,12204,11217,10175,9026
甘肃省,16175,15879,14624,13120,12254,10951,9875,8943,7937,6920
青海省,18284,17545,16557,15503,14775,13611,12605,11576,10386,9032
宁夏回族自治区,17506,18297,16715,15350,14965,13816,12485,11292,10009,9010
新疆维吾尔自治区,16512,17397,16189,15087,14066,12867,11904,11392,10171,8575
