地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,8.19,8.38,7.41,8.06,10.58,8.22,6.56,6.46,4.86,4.35
天津市,7.26,7.47,6.41,5.89,6.52,5.19,4.45,4.53,3.63,3.21
河北省,23.65,25.57,23.45,23.24,22.02,19.9,18.57,17.88,17.12,15.63
山西省,8.21,9.12,8.75,8.22,7.65,7.22,6.56,6.1,5.28,4.75
内蒙古自治区,8.61,9.98,9.88,10.09,9.84,9.19,8.84,8.07,7.06,6.67
辽宁省,15.05,17.68,17.24,16.68,16.01,15.23,15.27,15.21,14.12,13.91
吉林省,10.37,12.98,12.88,13.36,12.92,12.74,12.21,12.4,11.1,10.14
黑龙江省,13.77,18.68,19.37,19.69,18.72,18.98,18.73,17.83,15.68,14.95
上海市,6.64,6.17,5.9,5.88,8.26,6.66,6.15,6.96,5.28,4.79
江苏省,27,29.95,28.48,28.78,26.13,22.93,21.83,21.66,18.12,16.68
浙江省,13.91,15.44,15.42,15.77,14.71,13.96,13.58,13.24,12.25,11.52
安徽省,23.78,25.01,24.38,24.21,21.72,18.12,17.1,15.62,13.37,11.95
福建省,10.68,11.24,10.69,10.59,9.63,8.93,8.73,8.26,7.49,6.68
江西省,12.64,13.19,12.51,11.08,10.21,9.52,8.94,8.61,7.55,7.01
山东省,25.96,28.46,27.45,27.25,25.45,24.09,23.41,22.51,19.67,18.16
河南省,31.5,35.65,32.6,31.66,27.75,25.23,23.09,20.95,16,13.8
湖北省,19.34,21.21,20.1,19.93,18.31,16.69,15.74,15.09,13.56,12.46
湖南省,21.34,22.04,21.32,20.76,19.35,18.09,17.6,16.73,15.54,14.8
广东省,24.58,24.81,22.88,22.03,21.19,19.34,17.79,17.7,15.54,14.14
广西壮族自治区,13.67,14.27,12.87,12,11.28,10.44,10.09,9.32,8.59,7.76
海南省,2.3,2.15,1.96,1.78,1.66,1.51,1.41,1.32,1.21,1.09
重庆市,14.41,15.62,15.33,15.08,13.9,13.73,13.26,13.37,12.57,12.35
四川省,30.03,31.94,31.26,31.17,29.62,28.62,27.5,26.83,25.1,23.15
贵州省,16.12,16.61,15.17,13.45,12.1,10.84,9.57,8.57,8.12,7.22
云南省,14.3,14.45,13.33,12.71,11.93,10.91,10.05,9.13,8.21,7.43
西藏自治区,0.63,0.53,0.47,0.4,0.35,0.24,0.26,0.18,0.13,0.2
陕西省,12.79,13.67,12.84,10.88,10.14,9.73,8.51,8.06,7.1,6.82
甘肃省,5.9,6.22,5.78,5.41,5.03,4.62,4.22,3.85,3.29,3.07
青海省,1.83,1.85,1.71,1.64,1.52,1.28,1.25,1.08,1.07,0.94
宁夏回族自治区,2.07,2.44,2.28,2.22,1.95,1.81,1.58,1.59,1.5,1.33
新疆维吾尔自治区,7.36,7.31,5.95,7.44,9.36,10.18,10.8,10.91,10.31,10.42
