地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,11.38,12.9,13.78,15.15,16.62,16.6,17,16.37,17.41,17.32
天津市,8.98,9.64,9.75,9.51,9.82,10.12,9.94,10.26,10.14,10.41
河北省,37.49,42.13,45.87,50.49,55.19,60.94,66.13,74.08,74.53,77.72
山西省,21.58,25.5,27.85,28.77,30.01,34.68,35.07,38.4,36.28,33.96
内蒙古自治区,14.17,16.18,17.69,18.7,19.84,21.79,21.68,22.16,20.77,21.53
辽宁省,22.43,25.56,28.08,29.19,31.26,31.7,34.51,36.96,37.29,37.26
吉林省,13.93,18.08,19.32,20.63,22.15,23.45,23.52,25.41,22.98,23.82
黑龙江省,17.19,24.44,27.82,28.67,30.63,31.82,35.23,37.66,34.56,33.27
上海市,9.22,9.87,10.51,10.87,12.52,14.18,14.19,14.95,14.42,14.89
江苏省,49.24,56.94,63.77,67.55,71.61,78.6,83.45,90.38,88.76,86.75
浙江省,27.77,29.36,33.73,34.44,36.68,39.25,43.68,42.22,44.2,44.09
安徽省,47.18,54.16,61.91,67.38,71.34,73.91,79.89,80.56,76.49,71.14
福建省,20.56,24.03,27.36,29.14,31.46,34.94,37.53,39.59,38.19,38.28
江西省,27.24,28.87,33.06,28.91,30.2,30.62,37.12,39.37,42.11,37.3
山东省,48.74,53.3,59.9,62.58,67.07,70.1,83.18,89.14,93.33,96.91
河南省,62.65,76.45,80.9,86.97,96.9,109.44,117.58,126.24,119.13,106.31
湖北省,31.53,38.93,43.78,47.21,51.38,57.3,62.19,64.58,61.59,62.69
湖南省,35.75,38.03,42.16,45.77,49.94,54.27,62.2,62.06,64.38,65.87
广东省,63.33,67.45,71.38,75.81,78.61,84.04,89.15,87.47,87.07,86.36
广西壮族自治区,29.72,33.03,36.19,37.94,39.4,42.13,47.23,47.19,49.17,49.33
海南省,6.12,6.56,7.27,7.58,7.83,8.31,9,9.12,9.94,11.52
重庆市,21.09,23.83,25.88,26.6,27.85,29.26,30.45,30.31,29.85,30.48
四川省,53.65,61.32,66.9,68.95,72.71,74.15,77.42,77.68,74.83,74.98
贵州省,31.76,36.24,40.03,40.36,45.32,49.26,43.72,42.98,41.78,37.34
云南省,32.79,35.92,37.76,40.28,44.61,45.82,46.48,45.21,41.95,39.07
西藏自治区,3.42,3.12,3.01,3.41,3.01,1.54,1.96,1.16,1.39,1.36
陕西省,23.62,27.19,30.04,30.06,33.24,35.6,38.12,39.57,37.36,36.93
甘肃省,17.79,19.85,21.07,19.79,21.91,22.03,20.18,18.65,16.75,16.91
青海省,5.19,5.77,5.73,5.97,6.12,5.11,5.4,4.75,4.57,4.17
宁夏回族自治区,4.94,6.09,6.07,6.03,6.2,6.09,5.6,6.38,6.07,6.15
新疆维吾尔自治区,13.88,16.59,15.37,18.39,21.41,27.66,27.92,26.07,26.29,28.23
